"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"948",544365,"Bañuelos, Manny","948","100.0","0.303","0.227","0.333","0.530","0.388","0.372","0.284","60","198","88.2","15.3","2122","87.5","86.74","99","408","539","-0.8","5.87","108","149","110","146","292","316","296"
"946",543272,"Hand, Brad","946","100.0","0.242","0.142","0.364","0.384","0.292","0.284","0.226","53","219","87.8","20.2","2445","86.4","84.16","138","449","497","-2.2","4.90","106","150","113","148","289","312","288"
"945",572403,"VerHagen, Drew","945","100.0","0.304","0.200","0.357","0.504","0.370","0.333","0.259","70","230","89.1","8.8","2289","88.2","87.81","96","422","522","-0.4","5.94","109","149","114","148","298","326","292"
"941",461872,"Swarzak, Anthony","941","100.0","0.251","0.203","0.280","0.454","0.332","0.333","0.250","52","207","89.2","12.3","2372","89.0","88.71","117","416","525","-0.3","5.88","109","151","112","149","303","323","297"
"941",543118,"Drake, Oliver","941","100.0","0.181","0.176","0.225","0.357","0.261","0.270","0.199","36","199","88.9","7.9","1583","87.8","88.08","167","465","476","0.3","6.44","109","157","116","148","296","325","299"
"937",461325,"Clippard, Tyler","937","100.0","0.176","0.181","0.207","0.356","0.260","0.262","0.180","38","216","85.8","23.0","2101","83.9","82.73","135","475","462","-1.2","6.01","111","153","117","150","288","313","290"
"935",605538,"Wisler, Matt","935","100.0","0.272","0.218","0.343","0.490","0.339","0.298","0.237","56","206","88.3","15.7","2385","86.2","84.96","146","459","476","-1.2","5.50","111","153","117","147","304","325","299"
"935",501789,"Harris, Will","935","100.0","0.196","0.098","0.247","0.294","0.235","0.267","0.215","42","214","87.5","4.1","2631","87.1","84.77","117","396","539","-2.3","6.21","112","154","116","150","289","317","299"
"934",605195,"Crick, Kyle","934","100.0","0.224","0.208","0.274","0.432","0.345","0.301","0.177","41","183","86.7","14.9","2684","90.1","89.34","125","422","512","-0.8","5.87","110","149","123","148","308","327","300"
"934",673633,"Hirano, Yoshihisa","934","100.0","0.249","0.146","0.317","0.395","0.308","0.295","0.217","51","205","87.4","11.1","1723","87.2","86.86","143","451","483","-0.3","5.93","110","152","116","150","302","328","302"
"933",502154,"Britton, Zack","933","100.0","0.182","0.072","0.226","0.254","0.247","0.273","0.195","38","209","87.4","-8.6","2080","92.8","91.64","107","392","541","-1.2","5.49","107","152","112","148","293","322","287"
"932",656605,"Keller, Mitch","932","100.0","0.348","0.198","0.478","0.546","0.392","0.250","0.206","72","207","86.8","10.3","2528","91.3","81.55","120","482","450","-9.8","5.86","109","150","119","148","304","324","297"
"925",475054,"Roe, Chaz","925","100.0","0.251","0.097","0.359","0.349","0.310","0.305","0.234","49","195","86.1","12.0","2789","84.6","83.25","97","350","575","-1.3","5.67","108","155","115","148","294","323","295"
"923",518715,"Gearrin, Cory","923","100.0","0.261","0.123","0.313","0.384","0.318","0.328","0.255","55","211","88.6","8.3","2476","87.9","86.42","81","407","516","-1.5","5.65","108","153","115","146","293","317","289"
"921",641835,"Mayza, Tim","921","100.0","0.230","0.189","0.274","0.418","0.313","0.335","0.255","45","196","87.1","6.6","2153","91.8","92.08","143","440","481","0.3","6.41","107","150","114","147","302","322","297"
"918",641302,"Alexander, Tyler","918","100.0","0.302","0.204","0.347","0.507","0.347","0.324","0.270","68","225","90.1","16.7","2224","87.3","86.84","88","483","435","-0.5","5.89","106","148","115","147","300","327","285"
"915",605280,"Holmes, Clay","915","100.0","0.232","0.134","0.301","0.366","0.332","0.329","0.225","45","194","88.6","0.4","2226","90.3","89.86","94","344","570","-0.4","5.97","110","147","122","146","303","324","298"
"914",605121,"Anderson, Justin","914","100.0","0.232","0.199","0.308","0.431","0.333","0.301","0.202","42","181","87.6","18.2","2268","89.3","89.36","119","419","495","0.1","6.31","112","151","113","147","294","316","291"
"914",641627,"Gott, Trevor","914","100.0","0.216","0.100","0.278","0.316","0.261","0.300","0.228","41","190","88.6","13.4","2105","91.9","90.85","106","442","472","-1.1","5.71","109","151","115","148","301","328","298"
"911",518566,"Cole, Taylor","911","100.0","0.286","0.113","0.366","0.399","0.325","0.319","0.277","58","203","86.8","7.1","2212","89.4","90.07","113","425","486","0.7","6.61","110","150","114","147","292","318","290"
"908",516969,"Herrera, Kelvin","908","100.0","0.288","0.173","0.349","0.462","0.339","0.319","0.261","60","208","86.4","18.2","2197","92.2","91.54","119","453","455","-0.7","5.85","110","149","114","148","295","320","295"
